CustomerName,CustomerNational,CustomerType,RoomType,Duration,Positive_Review,Negative_Review,CustomerPoint,Review_Title,HotelName
Wen,Malaysia,Cặp đôi,Phòng Deluxe,2 đêm,"new, clean, comfortable. nice gym and roof top bar",liked everything! good location which is near the beach,"8,0",great short getaway! value for money,Radisson Hotel Danang
Krisshna,Ấn Độ,Phòng gia đình,Phòng Deluxe,4 đêm,Location was central. Really close (15-20 mins) to the airport,Standard rooms look into rooms of another building which is very unpleasant. The staff's attitude could've been better. They wouldn't extend themselves beyond what they were supposed to do. Special request weren't addressed,"7,0",Overall Okay,Radisson Hotel Danang
Ulhas,Ấn Độ,Cặp đôi,Phòng Premium - Nhìn Ra Biển,2 đêm,"nice sea facing room, lovely spa and massage, helpful staff",only one menu - common in two restaurants on ground floor and twentieth floor. We expected more and varied menu,"9,0","good location, friendly staff",Radisson Hotel Danang
Kriti,United Arab Emirates (Các Tiểu Vương Quốc Ả Rập Thống Nhất),Cặp đôi,Phòng Deluxe - Nhìn ra cảnh thành phố,1 đêm,"breakfast 
location",,"8,0",Rất tốt,Radisson Hotel Danang
Tushar,Ấn Độ,Phòng gia đình,Phòng Premium - Nhìn Ra Biển,4 đêm,The view from the room is the best. Nothing beats it.,,"9,0",Tuyệt hảo,Radisson Hotel Danang
Gautam,Ấn Độ,Cặp đôi,Phòng Premium - Nhìn Ra Biển,4 đêm,"Beautiful Location, everything nearby markets, grocery shops, restaurants bars all of it, you will love it here","The AC in the room was making too much noise, irritated by that","8,0",Comfortable cozy with beautiful ocean view,Radisson Hotel Danang
Ian,Đức,Khách lẻ,Phòng Deluxe - Nhìn ra cảnh thành phố,1 đêm,"Everything! It was a great stay. Great pool. Best, most friendly staff ever. Would stay again! Fantastic room! Better than expected...",Both problems not the fault of the hotel. Fire alarm went off at 8am on first night. Pool was quite overcrowded due to a group.,"9,0",A fantastic stay!,Radisson Hotel Danang
Vikas,Ấn Độ,Phòng gia đình,Phòng Deluxe,2 đêm,"amazing location , courteous staff and sumptuous breakfast with comfortable bed.",room size is small for even ocean facing room that comes at premium.,"9,0",Fantastically located hotel at famous beach at moderately high prices.,Radisson Hotel Danang
Anita,Úc,Cặp đôi,Suite Executive Ở Góc - Nhìn Ra Biển,2 đêm,"We booked an Exec room, so it was nice and spacious with a small living space. Beds comfy, great views.
Staff were very professional and very eager to help. They stored our luggage for us when we went to Hoi An for a couple of nights. And allowed us to shower when we returned soaking wet after riding in a storm for an hour!","The Exec Lounge. Staff seemed unsure about opening times and what we were 'allowed' to eat and drink. Turns out we were allowed one glass of wine pp only, or 2 beers each. No other drinks on offer and very small slot of cold food available. Had to ask for cutlery. Not worth the extra$.","9,0","Danang, newish hotel. Good short stay",Radisson Hotel Danang
Leonard,Singapore,Cặp đôi,Suite Executive Ở Góc - Nhìn Ra Biển,3 đêm,Rooms were clean and staff excellent,Breakfast was very decent but could do with an slight improvement quality wise. Sunlight seeped through the top and bottom edges of the blackout curtains.,"8,0",The staff was always in hand to attend to our needs. Even the GM made himself available on his rounds to check in on us.,Radisson Hotel Danang
Colin,Vương Quốc Anh,Phòng gia đình,Phòng Deluxe - Nhìn ra cảnh thành phố,3 đêm,"The hotel was great value - a modern, clean, comfortable room with an incredible view. Very freindly and helpful staff. Breakfast was ""wow"" - extensive.",,"9,0",A great stay - and Da Nang is a must-go-to place.,Radisson Hotel Danang
Tanya_vn,Việt Nam,Phòng gia đình,Phòng Premium - Nhìn Ra Biển,4 đêm,"I really like their infinity rooftop pool and the bar! The view is amazing both at daytime and at night. The location is good too, pretty central and next to the beach. However, every time we go to the beach, beach staff were asking money from us just to enter the beach. I hope Radisson could sort this for their guests.","The food at the bar was disgusting. I never seen such a bad food ever in Vietnam. They brought me raw shrimps, after I returned the order they brought me dry overcooked shrimp back. Not even a solution was given (discount, offer this dish on a house). So I had to somehow swallow and pay.
Also, they still need improvements on sauna area, at least the staff need to learn to how so switch it on and make it hot for guests.","7,0",Great choice of hotel for short time stay near the beach in Danang,Radisson Hotel Danang
Ng,Malaysia,Khách lẻ,Phòng Deluxe,2 đêm,"Very convenient and near to everything. Uber is convenient and reasonable price. 15 mins to airport, very good location. Just need to walk across the main road to the beach. Everything is fine.",None,"9,0",Overall happy with my 2 days stay in the hotel.,Radisson Hotel Danang
Raunak,Ấn Độ,Cặp đôi,Phòng Premium - Nhìn Ra Biển,2 đêm,"Everything was good, even the food. But expected a better room/balcony",,"9,0",Tuyệt hảo,Radisson Hotel Danang
Luke,Úc,Khách lẻ,Phòng Premium - Nhìn Ra Biển,3 đêm,Hotel is close to DaNang city. Concierge Hao was very helpful.,Need a place to refill water bottles to save the planet.,"7,0",Tốt,Radisson Hotel Danang
Ujwal,Ấn Độ,Cặp đôi,Phòng Premium - Nhìn Ra Biển,3 đêm,"Good Location, the View is excellent, breakfast spread is good.","We got the corner room and the balcony is just a narrow strip which you can only open for air nothing else.
When I was checking out the receptionist was checking with me for one missing teaspoon which I had no clue about, left an unpleasant feeling after staying for 3 nights.","8,0",Rất tốt,Radisson Hotel Danang
Marketa,Cộng hoà Séc,Phòng gia đình,Phòng Premium - Nhìn Ra Biển,3 đêm,location and service,better understanding in English,"9,0",Tuyệt hảo,Radisson Hotel Danang
Tran,Việt Nam,Khách lẻ,Phòng Deluxe - Nhìn ra cảnh thành phố,1 đêm,location and view,only 2 lifts with crowed ppls inside. long queue,"8,0",Rất tốt,Radisson Hotel Danang
Jia,Singapore,Khách lẻ,Phòng Premium - Nhìn Ra Biển,1 đêm,The location are just near the beach and quite central. The hotel are new and clean. The room i booked have the ocean view and I could see the sunrise from the window. The aircon works really well. The bed & pillows are really comfortable. The staffs there are top notch. Always ready and attentive to my needs. I would like to appraise Phuc that shows exceptional service to me.,An improvement can be the change of hotel slippers. The slippers provided are not comfortable and will cause abrasion to my toes so I end up using my own slippers instead.,"9,0",Definitely will visit again,Radisson Hotel Danang
Gerard,Việt Nam,Khách lẻ,Phòng Deluxe,1 đêm,Getting the necessary wifi in my room but this was resolved. Plus being able to use the vip lounge for breakfast was very helpful,,"8,0",Very nice plus helpful staff and facilities,Radisson Hotel Danang
Doan,Singapore,Cặp đôi,Phòng Premium - Nhìn Ra Biển,1 đêm,,central aircon too noisy,"8,0","excellent location, modern, clean",Radisson Hotel Danang
Fleischer,Thụy Sỹ,Cặp đôi,Phòng Deluxe - Nhìn ra cảnh thành phố,1 đêm,Rooftop pool has a beautiful view! Comfy bed. Friendly service.,"Slow check-in. 
The restaurant food wasn't tasty and it took too long to be ready.","7,0",Beautiful rooftop pool.,Radisson Hotel Danang
Widchulada,Thái Lan,Cặp đôi,Phòng Premium - Nhìn Ra Biển,2 đêm,good view and good location and fair price.,They told me Body lotion out of stock!!!!!! What???,"7,0",Tốt,Radisson Hotel Danang
Christopher,Vương Quốc Anh,Cặp đôi,Phòng Premium - Nhìn Ra Biển,5 đêm,"good location, great air con","smokers in the breakfast area indoors, staff said it was allowed, told reception and was told it wasn’t allowed","8,0",good,Radisson Hotel Danang
Aine,Úc,Cặp đôi,Phòng Deluxe - Nhìn ra Đại dương,3 đêm,Very happy with our ocean view room! Loved the facilities including the pool and bar upstairs. One of the best buffet breakfasts we have ever had! Staff very friendly,Nothing,10,Xuất sắc,Radisson Hotel Danang
Kate,Vương Quốc Anh,Cặp đôi,Phòng Deluxe,4 đêm,"The hotel room was comfortable. The pool and view from the pool was absolutely incredible, definitely the best part about the hotel for us!",The breakfast could be improved.,10,Xuất sắc,Radisson Hotel Danang
Christian,Đức,Cặp đôi,Phòng Deluxe,1 đêm,"The Hotel is directly opposite to the Beach. We had a room with city view and it was very calm, which was absolutely perfect for us and we could sleep very well. The staff was very helpful and friendly. The breakfast was really good and had a Lot of variety. We can absolutely recommend the Radisson as a Good Place to stay in Da Nang and would stay there again.",,10,Xuất sắc,Radisson Hotel Danang
Yasmin,Đan Mạch,Cặp đôi,Phòng Deluxe - Nhìn ra Đại dương,8 đêm,Great breakfast with a really nice selection of foods and drinks. We did not get bored of it the 8 nights we stayed. Employees always willing to help with both practical stuff but also recommondations and tips for a better trip in Danang.,,10,Really good,Radisson Hotel Danang
Vicki,Vương Quốc Anh,Khách lẻ,Phòng Deluxe - Nhìn ra Đại dương,2 đêm,"The location was brilliant, and the room was spacious with excellent views excellent housekeeping. Good spa lovely pool friendly staff especially two who checked me in late and one who helped with baggage storage (Truc?). Liked being able to check out at 12 and still use pool
Excellent breakfadt",Food service finished quite early room service only til 9.30 no where to eat if laye,10,Great stay,Radisson Hotel Danang
조,Hàn Quốc,Phòng gia đình,Phòng Gia Đình - Nhìn Ra Biển,2 đêm,"All staff were friendly, especially Khan, who was very helpful. Thanks to you, it was a comfortable and enjoyable trip. Thank you very much.",,10,Xuất sắc,Radisson Hotel Danang
Geraldine,Úc,Cặp đôi,Phòng Deluxe - Nhìn ra Đại dương,2 đêm,"The location is beautiful, the pool is amazing and the food at the pool was fantastic!",,10,"Beautiful stay, perfect hotel! Would definitely return",Radisson Hotel Danang
Shan,Pháp,Nhóm,Phòng Deluxe,3 đêm,"Everything was great basically. We had a fantastic vacation in Danang. The hotel is well-located, though it's not in the city center, the dining options around are limited, but it's easy to reach by taxi (around 10-15 mins) to and from the city center. 

The view is amazing, even with the partial sea view room. Room is clean and tidy. Elevator needs keycard to acess which is great. Breakfast is delicious with a lot of options, both local, Asian, and western. The restaurant is wonderful with several vegetarian options. 

The highlight for me would be the spa. We had a complimentary sauna for >3 nights of stay and I booked the massages twice - amazing experiences, very professional and of great quality. The massage rooms are sea front, which is another plus. 

So in general it's really great for a relaxing vacation with family or friends or partner. The price for the room and other activities and services in the hotel is very reasonable.","Nothing much. If I have to pick, I'd say the room is a bit small for a high-end hotel in southeast Asia. And the rooftop bar is right beside the pool, which can be a bit messy when it's busy.",10,Fantastic!,Radisson Hotel Danang
Graham,Hồng Kông,Cặp đôi,Suite Executive Ở Góc - Nhìn Ra Biển,2 đêm,Wonderful stay. Got engaged.,Rooftop pool.,10,Just great,Radisson Hotel Danang
Kieran,Ireland (Ai Len),Cặp đôi,Phòng Premium - Nhìn Ra Biển,3 đêm,"Staff were exceptionally helpful and friendly. Beautiful views, modern cleas & comfortable rooms and a great rooftop pool",,10,Xuất sắc,Radisson Hotel Danang
Kristen,Úc,Cặp đôi,Phòng Premium - Nhìn Ra Biển,1 đêm,This hotel was awesome. The rooftop pool and bar were amazing! The rooms were spacious and very modern and comfortable.,Bit away from shopping area.,10,I loved this hotel!,Radisson Hotel Danang
Ludmila,Canada,Cặp đôi,Phòng Deluxe - Nhìn ra Đại dương,6 đêm,Good location friendly staff good service beautiful infinity pool excellent breakfast,Everything was excellent.,10,We stayed in this hotel for 6 nights we had great time we had our wedding anniversary and also my birthday stuff did exc,Radisson Hotel Danang
Nalin,Ấn Độ,Nhóm,Phòng Deluxe,2 đêm,Location is fantastic. Facilities are upto date. I stay there for 2 days. I enjoyed a lot.,Nothing,10,Xuất sắc,Radisson Hotel Danang
Bruno,Úc,Cặp đôi,Phòng Premium - Nhìn Ra Biển,3 đêm,"Great rooms, service, rooftop pool overlooking the beach. Awesome helpful staff. Great seafood restaurant and beach bars nearby.",Nil,10,Just do it,Radisson Hotel Danang
Matthew,Vương Quốc Anh,Cặp đôi,Phòng Deluxe,1 đêm,"We only stayed one night in Da Nang but the Radisson hotel was perfectly good. Our room was on the smaller side but really nice. The staff were super helpful with our travel arrangements. They booked us a Taxi driver who took us on a great tour over the Hai Van pass - well worth it if you're heading north and have the time. The rooftop bar has stunning views even if the pool looked a little small. The beach is huge and seems to be the main attraction in Da Nang. There's not that much else to do, and not much else near the hotel, but Taxis are cheap and easy to book on Grab to go to more lively areas.",Vegan options at breakfast could be better but this was pretty much on par with other hotels in Vietnam.,10,Great hotel for a short stay,Radisson Hotel Danang
Alexandra,Đan Mạch,Cặp đôi,Phòng Premium - Nhìn Ra Biển,2 đêm,Great location and helpful staff. Great breakfast selection and the rooms were very spacious.,,10,Perfect for a couple of days in d,Radisson Hotel Danang
Raj,Vương Quốc Anh,Cặp đôi,Phòng Deluxe,1 đêm,The room was quite spacious and comfortable.,"The Kitchen staff were not flexible enough to make us something that we requested even though we stayed there for 4 nights. There were vegetarian options, but not to our liking.","6,0",Good hotel but unpleasant Kitchen King.,Radisson Hotel Danang
Sophie,Vương Quốc Anh,Nhóm,Phòng Deluxe - Nhìn ra Đại dương,2 đêm,Very clean rooms and made for a comfortable stay. Staff were fantastic and very attentive. Excellent breakfast included.,At further end of beach but overall location was ok.,10,Great stay and would happily return,Radisson Hotel Danang
Too,Singapore,Nhóm,Phòng Premium - Nhìn Ra Biển,3 đêm,"Beach front location. Near Town. Room is clean and bright. Beach facing view from room. Service by hotel staff is good. They serve with smile, especially Khanh",Cant think of any now,10,Awesome stay,Radisson Hotel Danang
Vincent,Úc,Nhóm,Phòng Deluxe - Nhìn ra Đại dương,1 đêm,Fantastic hotel with great location and views! Service was excellent and room had great features.,,10,Xuất sắc,Radisson Hotel Danang
Andreea,Hà Lan,Cặp đôi,Phòng Deluxe - Nhìn ra Đại dương,1 đêm,"Partial sea view, breakfast","The staff was incredibly rude, they told me I look very tired, among others. This is by no means a 5 star hotel, horrible facilities, far away located, super basic and disgustingly dirty rooms, untrained staff, no real value for the money. The sea view rooms are just partial sea view!","1,0",Disappointing,Radisson Hotel Danang
Robert,Vương Quốc Anh,Cặp đôi,Phòng Deluxe,1 đêm,It is more of a business hotel and we only stayed 1 night. We wouldn’t go back to Da Nang . An average hotel full of groups from China and Korea,It isn’t a hotel for a holiday but ok for an overnight,"6,0",Just needed a place to sleep as had early flight . It did the job,Radisson Hotel Danang
Vittorio,Ý,Phòng gia đình,Suite Executive Ở Góc - Nhìn Ra Biển,2 đêm,"View from the room, the lounge","I could not sleep at night due to loud music until late, breakfast is very busy, lifts are always very busy","5,0",Loud music,Radisson Hotel Danang
Nick,Vương Quốc Anh,Cặp đôi,Phòng Premium - Nhìn Ra Biển,4 đêm,Staff were exceptionally helpful and friendly. Room was good and so was the shower room. Great view of beach from the room. Well equipped gym. Easy access to beach. Good pool.,"Most of the seating around the pool is in permanent shade, though we were always able to get a sunny one when we wanted (the locals tend to shun the sun). The entire pool area is in shade from around lunchtime on.",10,Difficult to find fault. Would happily return here.,Radisson Hotel Danang
Christine,Pháp,Cặp đôi,Phòng Premium - Nhìn Ra Biển,5 đêm,"Fantastic food
Great location",,10,Excellent,Radisson Hotel Danang
Badescu,Romania,Khách lẻ,Phòng Deluxe,1 đêm,I stay always in Radisson,"I booked a Deluxe room and on booking it wasnt said that the room was no view. Literally no view. Was another building facing my window. I felt i payed money for nothing. 
The staff didnt want to give me another room unless i pay upgrade. I payed upgrade to have a normal room and not a cage.
After i payed upgrade, they gave me a conecting room and i could hear everything from my “neighbors “.
I attach picture, maybe others not be scamed like me for deluxe room.
In danang for the money i payed for one night in Raddisson ,i could stay easily at another 5 hotel stars , 2 nights.
From the room you can hear all the traffic outside.","4,0",Never again Radisson in Danang.,Radisson Hotel Danang
Rebecca,Úc,Phòng gia đình,Phòng Deluxe,1 đêm,The view and the rooftop bar and pool,,10,Very pleasant stay - friendly helpful staff,Radisson Hotel Danang
Sophie,New Zealand,Khách lẻ,Phòng Deluxe - Nhìn ra Đại dương,5 đêm,everything about it was amazing including the staff they were all super lovely!,,10,was a fantastic stay the buffet breakfast was amazing and the staff and room were lovely,Radisson Hotel Danang
Mimi,Hồng Kông,Cặp đôi,Phòng Premium - Nhìn Ra Biển,7 đêm,"The staff was very helpful and service-minded, truly five-star service all in all!","The surrounding area is not very developed yet - although the hotel is right next to the beach, but other than that there's not that much to see around the hotel.",10,Beachfront hotel with great service,Radisson Hotel Danang
Yen,Úc,Phòng gia đình,Phòng Deluxe,4 đêm,"The location was ideal for a buzzling centre feeling but at the same time has the best view of the beach 
The staff were amazing, very friendly and helpful",,10,Xuất sắc,Radisson Hotel Danang
Niraj,Ấn Độ,Phòng gia đình,Phòng Deluxe,3 đêm,,The reception staff and company policies are not good,"1,0",Horrible. Would would not recommend any one to go to this property of Radisson.,Radisson Hotel Danang
Hui-ju,Vương Quốc Anh,Nhóm,Phòng Premium - Nhìn Ra Biển,3 đêm,The ocean view is so good.,It’s tidy and staffs are very friendly.,10,Xuất sắc,Radisson Hotel Danang
Vidya,Ấn Độ,Phòng gia đình,Phòng Deluxe - Nhìn ra Đại dương,2 đêm,The hotel was located was just opposite to the beach.,"The card machines were not working. Faced a lot of trouble to close out this issue. For such a brand of hotel, the facilities available were limited and not of the expected quality. The hotel also quite strangely asked for a deposit apart from the room charges in case of damages which I felt was unnecessary even before any incident. The bathroom door did not have a locking mechanism which is not suitable for a family vacation. The food options available also were limited especially for vegetarians. Quite strange given that the hotel is a global brand. The room was also not as shown in the app as the balcony was just a door no seating space or place to stand. Just a namesake view. Room cards were issued without activation and the lifts are pretty narrow and pound noise of the lift when you get off at your floor.","4,0",Good place but can definitely improve as not equal to other Raddisson residences.,Radisson Hotel Danang
Latesh,Ấn Độ,Nhóm,Phòng Premium - Nhìn Ra Biển,3 đêm,"Very good room and room size, awesome location.",Worst and rude reception staff. No sitting space in balcony despite of mentioning it on the website.,"4,0",Good Hotel and room. Rude and worst Staff,Radisson Hotel Danang
Muzhda,Úc,Phòng gia đình,Phòng Deluxe,2 đêm,Everything was perfect. Close to the beach and amazing views. Highly recommend it.,Everything was fabulous - staff were very friendly.,10,"Amazing views, beach front and lovely staff",Radisson Hotel Danang
Naowarat,Thái Lan,Nhóm,Phòng Deluxe,2 đêm,"Staff - friendly, informaive

Food - various, tasty",-,10,Great hotel,Radisson Hotel Danang
Nellie,Úc,Khách lẻ,Phòng Deluxe,1 đêm,Location and pool,Wasn't soundproof...very noisy trouble sleeping...no restaurant ... advertised with soundproof and restaurant,"6,0",Not enjoyable would not stay again...staff were lovely and suggested i mention the soundproof and restaurant in my revie,Radisson Hotel Danang
Leone,New Zealand,Phòng gia đình,Phòng Gia Đình - Nhìn Ra Biển,4 đêm,"Clean, new, lovely staff, great breakfast",Could have been more sunny areas with loungers around pool,10,"Great stay with very nice staff. Hotel is polished and new which we loved. Family room was excellent, spacious and nice",Radisson Hotel Danang
Pham,Việt Nam,Phòng gia đình,Phòng Deluxe,2 đêm,Clean place,Never stay again..U r 5 star?...No!...3 star enough,"5,0",Tàm tạm,Radisson Hotel Danang
David,Úc,Phòng gia đình,Phòng Gia Đình - Nhìn Ra Biển,9 đêm,Buffet and staff were excellent.,,10,We will definitely be back,Radisson Hotel Danang
Ashokkumar,Ấn Độ,Nhóm,Phòng Gia Đình - Nhìn Ra Biển,2 đêm,Location,Attitude of staff,"5,0",Not good choice,Radisson Hotel Danang
Anthony,Úc,Nhóm,Phòng Deluxe,3 đêm,How friendly and helpful all the staff were,How clean and close to the beach,10,The Raddison hotel made our stay in Vietnam fantastic and we are taking home some great memory’s,Radisson Hotel Danang
Jimmy,Vương Quốc Anh,Cặp đôi,Suite Executive Ở Góc - Nhìn Ra Biển,4 đêm,"Top service 
Professional staff",All good,10,Memorable I will book again next year!,Radisson Hotel Danang
Kimberley,Úc,Cặp đôi,Phòng Executive - Nhìn Ra Biển,2 đêm,wow! view from our room and wonderful pool,had three lifts only. could have done with more,10,fabulous,Radisson Hotel Danang
Robert,Mỹ,Cặp đôi,Phòng Deluxe,1 đêm,Missed the train and get charged full price for a night I did not stay. Hotel discretion would have me change my rating. Money grab pure and simple. Hotel is at least 60% capacity,Refund charges for empty room,"1,0",Didn’t stay the night booked; train connection missed. Charged for a room I did not use,Radisson Hotel Danang
Carol,New Zealand,Phòng gia đình,Phòng Deluxe,1 đêm,Great views from the pool.,,10,Xuất sắc,Radisson Hotel Danang
Bich,Việt Nam,Cặp đôi,Phòng Executive - Nhìn Ra Biển,4 đêm,Chỗ ở sạch sẽ,Nhân viên phục vụ không tốt,"4,0",Your check out staff was rude and obnoxious. He even said in vietnamese dont let the customer and keep the guy here thin,Radisson Hotel Danang
Vikas,Thái Lan,Khách lẻ,Phòng Deluxe,1 đêm,The staff they want to charge me 15$ for getting a massage girl to my room. I did not like the attitude,,"1,0",Comfortable but not happy,Radisson Hotel Danang
Manisha,Ấn Độ,Phòng gia đình,Phòng Deluxe,2 đêm,"The property was good, although I was hoping it could be bigger. The room view was absolutely stunning sea facing.",The balcony could have been bigger but it’s constructed that ways so it cannot be changed.,10,loved the warm and loving staff. The breakfast was also good.,Radisson Hotel Danang
Chris,Kenya,Khách lẻ,Phòng Deluxe,3 đêm,On the ‘strip’ in good central location - a high riser with an infinity pool on top with sweeping views. Very genuinely friendly welcome by Sunny who excelled and was simply delightful. Radisson standard accommodation but make sure to book a sea facing room not only for the view but for the slightly larger size. Excellent Smart TV and good Housekeeping service. Breakfast buffet of good standard and service,"Lack of a cozy bar but many dining options to be found within walking distance. When asking how/where to book a train ticket I got 3 conflicting answers, when asking about taxi fares to Hoi An I was told 3.5 what turned out to be more like 5.000000 hence don’t expect any concierge services. 
Danang has become a mass tourism group destination with more hotel monstrosities under construction = Good luck !","6,0",A room with a view,Radisson Hotel Danang
Paresh,Ấn Độ,Cặp đôi,Phòng Deluxe - Nhìn ra Đại dương,3 đêm,NO VEGETERIAN SPREAD. NO HOSPITALITY,EVERYTHING,"3,0",THEY NEED TO LEARN HOSPITALITY,Radisson Hotel Danang
Nicholas,Vương Quốc Anh,Nhóm,Phòng Deluxe - Nhìn ra cảnh thành phố,2 đêm,"pool on the roof top, very friendly staff always happy to help would stay there again",nothing,10,felt right at home,Radisson Hotel Danang
Mike,Vương Quốc Anh,Cặp đôi,Phòng Deluxe - Nhìn ra Đại dương,2 đêm,Location & infinity pool,Nothing,10,Xuất sắc,Radisson Hotel Danang
Tuck,Singapore,Phòng gia đình,Phòng Deluxe,5 đêm,"The room is great especially the sea view.
Breakfast is good and best is the pool.
Great location, easy access to town and just 2 mun walk to beach.",Nothing I dont luke,10,Xuất sắc,Radisson Hotel Danang
Dana,Malaysia,Cặp đôi,Phòng Deluxe,3 đêm,"nice hotel in front of the beach! staff are very kind and helpful. 
Recommend!",,10,Xuất sắc,Radisson Hotel Danang
Manon,Pháp,Nhóm,Phòng Deluxe,1 đêm,"very nice swimming pool with a view 
super staff",nothing,10,amazing swimming pool,Radisson Hotel Danang
Michael,Đức,Khách lẻ,Phòng Deluxe,4 đêm,Location directly next to the beach. Very friendly and professional staff. Amazing breakfast with big selection of food. Extraordinary Spa area. Rooftop pool is very nice.,nothing to mention,10,Very good hotel in a very good location,Radisson Hotel Danang
Derya,Malaysia,Cặp đôi,Phòng Premium - Nhìn Ra Biển,7 đêm,"this was my honeymoon hotel, loved it",,10,Xuất sắc,Radisson Hotel Danang
Zain,Vương Quốc Anh,Khách lẻ,Phòng Deluxe - Nhìn ra cảnh thành phố,5 đêm,clean and modern,"poor location, staff didn’t speak a good standard or English which was a major barrier. Lacked ability to understand and communicate effectively. Food in restaurant was horrible and the massage people kept moving my appointments. the cleaners just walked in when I was in the shower and said I was in and bizarrely there where no room door cards as standard in any rooms. other guests commented on this as well. very poor","4,0",disappointing.,Radisson Hotel Danang
Margaret,Úc,Phòng gia đình,Phòng Premium - Nhìn Ra Biển,5 đêm,Staff,Balcony far too narrow to sit out on. Disappointed 😞,10,Xuất sắc,Radisson Hotel Danang
Helena,Singapore,Nhóm,Phòng Deluxe - Nhìn ra Đại dương,2 đêm,great location,the noise every night from the club opposite,"6,0",has lots of potential,Radisson Hotel Danang
Giorgio,Ý,Cặp đôi,Suite Executive Ở Góc - Nhìn Ra Biển,3 đêm,"Nothing, everything horrible","Dirty
Rude Personnel
Horrible hotel
Horrible experience
They don’t speak English","1,0","DIRTY, OLD, WITH RUDE PERSONNEL THAT DOESN’T UNDERSTAND BASIC ENGLISH",Radisson Hotel Danang
Michael,Úc,Khách lẻ,Phòng Deluxe,2 đêm,great ocean view good location,the buffet breakfast is very poor not many options to eat to be a 5 stars hotel it should have the standard but not bacon not scrambled eggs not tomatoes not hash browns etc juices very limited ah the sausage was there very bad weird taste my personal opinion as i was travelling multiple countries each hotel got good breakfast and not all of then were a 5 stars but rest was ok room nice comfortable but us a shame thst the view is bad as there is a building right next door 3/4 mitres away from your window so cant see anything just a grey wall lol but rooftop beautiful,10,Xuất sắc,Radisson Hotel Danang
Kezza,Úc,Khách lẻ,Suite Executive Ở Góc - Nhìn Ra Biển,5 đêm,"Delightful 5 night stay in a corner suite with amazing panoramic sea views. Great location, right on the beach. It's a fairly quiet area (which I loved) but an easy walk to restaurants and a local market. Fantastic breakfast with so many mouthwatering dishes to choose from. Staff were lovely, especially Nhi who provided exceptional customer service, delivered with such genuine warmth. She made me feel so welcome and was always on hand to provide unbiased advice on tours, attractions & transportation. I will definitely be back.",,10,Xuất sắc,Radisson Hotel Danang
Yusnani,Malaysia,Cặp đôi,Phòng Premium - Nhìn Ra Biển,2 đêm,"We wanted an ocean view and got it. The room was well appointed, very clean. The staff including Ms Sunny, Mr Huu Anh and Hao, and many more were very helpful, warm and attentive. Good breakfast!",We like everything about Radisson Danang.,10,"My stay at Radisson, Danang.",Radisson Hotel Danang
Darren,Úc,Cặp đôi,Phòng Premium - Nhìn Ra Biển,5 đêm,"Great view from room, great breakfast and very friendly and helpful staff","This isn't a 5 star hotel but more like a 3 star youth hostel. The hotel is too small for the block it's built on. Lifts are crowded and the pool / bar area is a joke! Beware, the room doesn't have a balcony. Instead, it's a ledge that you walk out on. The room is not sound proof. The noisy Karaoke bar across the road is very disruptive. We booked an ocean view room but had to move to a room at the back of the hotel for some sleep. We stayed in two rooms, both of them the air-conditioning didn't work. Although staff were quick to respond, it took hours on both occasions to fix.","4,0","Beware, this is not a 5 star hotel",Radisson Hotel Danang
Paul,Vương Quốc Anh,Cặp đôi,Suite Executive Ở Góc - Nhìn Ra Biển,5 đêm,"We settled on a corner suite with sea view, wow! Really clean with its own living area and large bathroom plus a coffee machine in the room really makes a difference on a morning. The staff were very professional along with a good understanding of English. Breakfast was a thing of beauty. From a good English to some of the best noodles I had in Vietnam. The VM coffees were perfect. We tried the spa and was very pleased with our treatments. sad to check out.","Tourism has not recovered properly since the pandemic so at time we were the only foreigners around. The restaurant on an evening was closed due to the lack of clientele. Also as an executive member we got pre-drinks (1 glass of wine or 2 beers) on the 20 floor, please give us the option to purchase more.",10,Relax and unwind by the beach.,Radisson Hotel Danang
Bogdan,Singapore,Phòng gia đình,Phòng Premium - Nhìn Ra Biển,2 đêm,The location is great with a nice beach view.,"This is not a 5 star hotel. For a new hotel is not clean and the maintenance is very poor. Hotel is very well located with a beautiful view but inside the hotel cleaning and maintenance is close to 0.
The elevators are very dirty, and the floor carpets in the room are dirty as they don't vacuum and on top of this breakfast closes exactly at 10.00am and if for example they run out of a specific dish the refill is not done. I definitely don't recommend it.
The rooms pictures.on the website are not reflecting the reality the room is very small.","1,0",Don't recommend not a 5 hotel,Radisson Hotel Danang
Neerunjun,Hồng Kông,Khách lẻ,Phòng Premium - Nhìn Ra Biển,4 đêm,"Location, breakfast, cleanliness, staff service",None,10,Xuất sắc,Radisson Hotel Danang
Nurhazimah,Singapore,Cặp đôi,Phòng Deluxe - Nhìn ra Đại dương,1 đêm,everything!,none,10,"my stay here was too short, it deserves a comeback!!",Radisson Hotel Danang
Uriel,Nhật Bản,Cặp đôi,Phòng Premium - Nhìn Ra Biển,3 đêm,The room was spacious and everything was clean. My favorite thing was breakfast. Great options and everything was good.,everything was great,10,you won’t get disappointed,Radisson Hotel Danang
Harsh,Ấn Độ,Cặp đôi,Phòng Deluxe,3 đêm,,the staff at the reception during check in was rude and not courteous at all. He was not honest and was just making up stories .He delayed the check in intentionally.,"4,0",Thất vọng,Radisson Hotel Danang
